bag_id,lesion_id,label_name,source_buckets,instance_count,whole_image_count,roi_count,magnifications,channel_names,sample_types,has_mixed_source_bucket,has_unknown_magnification,has_unknown_channel,review_flag_count,review_flags
LESION_CAER_RAW_001,LESION_CAER_RAW_001,ADM,caerulein_adm,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_CAER_RAW_002,LESION_CAER_RAW_002,ADM,caerulein_adm,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_CAER_RAW_003,LESION_CAER_RAW_003,ADM,caerulein_adm,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_CAER_RAW_004,LESION_CAER_RAW_004,ADM,caerulein_adm,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_CAER_RAW_005,LESION_CAER_RAW_005,ADM,caerulein_adm,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_CAER_RAW_006,LESION_CAER_RAW_006,ADM,caerulein_adm,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_CAER_RAW_007,LESION_CAER_RAW_007,ADM,caerulein_adm,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_CAER_RAW_008,LESION_CAER_RAW_008,ADM,caerulein_adm,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_CAER_RAW_009,LESION_CAER_RAW_009,ADM,caerulein_adm,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_CAER_RAW_010,LESION_CAER_RAW_010,ADM,caerulein_adm,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_CAER_RAW_011,LESION_CAER_RAW_011,ADM,caerulein_adm,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_CAER_RAW_012,LESION_CAER_RAW_012,ADM,caerulein_adm,1,1,0,40x,merge,whole_image,0,0,0,1,single_view_bag
LESION_KC_RAW_001,LESION_KC_RAW_001,PanIN,KC,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_KC_RAW_002,LESION_KC_RAW_002,PanIN,KC,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_KC_RAW_003,LESION_KC_RAW_003,PanIN,KC,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_KC_RAW_004,LESION_KC_RAW_004,PanIN,KC,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_KC_RAW_005,LESION_KC_RAW_005,PanIN,KC,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_KC_RAW_006,LESION_KC_RAW_006,PanIN,KC,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_KC_RAW_007,LESION_KC_RAW_007,PanIN,KC,12,1,11,unknown,single,roi_crop|whole_image,0,1,0,1,missing_magnification
LESION_KC_RAW_008,LESION_KC_RAW_008,PanIN,KC,4,1,3,unknown,single,roi_crop|whole_image,0,1,0,1,missing_magnification
LESION_KC_RAW_009,LESION_KC_RAW_009,PanIN,KC,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_KC_RAW_010,LESION_KC_RAW_010,PanIN,KC,4,1,3,unknown,single,roi_crop|whole_image,0,1,0,1,missing_magnification
LESION_KC_RAW_011,LESION_KC_RAW_011,PanIN,KC,5,1,4,unknown,single,roi_crop|whole_image,0,1,0,1,missing_magnification
LESION_KC_RAW_012,LESION_KC_RAW_012,PanIN,KC,7,1,6,unknown,single,roi_crop|whole_image,0,1,0,1,missing_magnification
LESION_KC_RAW_013,LESION_KC_RAW_013,PanIN,KC,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_KC_RAW_014,LESION_KC_RAW_014,PanIN,KC,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_KC_RAW_015,LESION_KC_RAW_015,PanIN,KC,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_KPC_001,LESION_KPC_001,PanIN,KPC,3,3,0,unknown,amylase|ck19|single,whole_image,0,1,0,1,missing_magnification
LESION_KPC_RAW_002,LESION_KPC_RAW_002,PanIN,KPC,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_KPC_RAW_003,LESION_KPC_RAW_003,PanIN,KPC,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_KPC_RAW_004,LESION_KPC_RAW_004,PanIN,KPC,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_KPC_RAW_005,LESION_KPC_RAW_005,PanIN,KPC,1,1,0,unknown,single,whole_image,0,1,0,2,missing_magnification|single_view_bag
LESION_KPC_RAW_M001,LESION_KPC_RAW_M001,PanIN,KPC,1,1,0,40x,merge,whole_image,0,0,0,2,filename_bucket_conflict|single_view_bag
LESION_MC_001,LESION_MC_001,ADM,multichannel_adm|multichannel_kc_adm,12,12,0,10x|20x|40x,amylase|ck19|merge,whole_image,1,0,0,2,duplicate_view_slot|mixed_source_bucket
LESION_MC_002,LESION_MC_002,ADM,multichannel_kc_adm,6,6,0,10x|20x|40x,amylase|merge,whole_image,0,0,0,0,
