bag_id,label_name,source_buckets,instance_count,review_flags,example_paths,notes
LESION_CAER_RAW_001,ADM,caerulein_adm,1,missing_magnification|single_view_bag,data/caerulein_adm/1.tif,
LESION_CAER_RAW_002,ADM,caerulein_adm,1,missing_magnification|single_view_bag,data/caerulein_adm/2.tif,
LESION_CAER_RAW_003,ADM,caerulein_adm,1,missing_magnification|single_view_bag,data/caerulein_adm/3.tif,
LESION_CAER_RAW_004,ADM,caerulein_adm,1,missing_magnification|single_view_bag,data/caerulein_adm/4.tif,
LESION_CAER_RAW_005,ADM,caerulein_adm,1,missing_magnification|single_view_bag,data/caerulein_adm/5.tif,
LESION_CAER_RAW_006,ADM,caerulein_adm,1,missing_magnification|single_view_bag,data/caerulein_adm/6.tif,
LESION_CAER_RAW_007,ADM,caerulein_adm,1,missing_magnification|single_view_bag,data/caerulein_adm/7.tif,
LESION_CAER_RAW_008,ADM,caerulein_adm,1,missing_magnification|single_view_bag,data/caerulein_adm/8.tif,
LESION_CAER_RAW_009,ADM,caerulein_adm,1,missing_magnification|single_view_bag,data/caerulein_adm/9.tif,
LESION_CAER_RAW_010,ADM,caerulein_adm,1,missing_magnification|single_view_bag,data/caerulein_adm/10.tif,
LESION_CAER_RAW_011,ADM,caerulein_adm,1,missing_magnification|single_view_bag,data/caerulein_adm/11.tif,
LESION_CAER_RAW_012,ADM,caerulein_adm,1,single_view_bag,data/caerulein_adm/40x-merge.tif,
LESION_CS_A,ADM,multichannel_unresolved,9,needs_manual_check|unresolved_bucket_excluded,data/multichannel_unresolved/amylase-10x.tif | data/multichannel_unresolved/amylase-20x.tif | data/multichannel_unresolved/amylase-40x.tif,base subgroup; merge image without explicit magnification; structured solved base subgroup
LESION_CS_B,ADM,multichannel_unresolved,9,unresolved_bucket_excluded,data/multichannel_unresolved/amylase-10x-1.tif | data/multichannel_unresolved/amylase-20x-1.tif | data/multichannel_unresolved/amylase-40x-1.tif,structured solved subgroup 1
LESION_CS_C,ADM,multichannel_unresolved,9,unresolved_bucket_excluded,data/multichannel_unresolved/amylase-10x-2.tif | data/multichannel_unresolved/amylase-20x-2.tif | data/multichannel_unresolved/amylase-40x-2.tif,structured solved subgroup 2
